cityname,Article
New Delhi,"['In the dark?Perarivalan has been in prison for 26 years for his role in procuring batteries that were used in the belt bomb which killed Rajiv Gandhi.File Photo', 'Twenty-six years after the assassination of former Prime Minister Rajiv Gandhi, a former CBI officer who interrogated one of the convicts, the then 19-year-old A.G. Perarivalan, made a sworn statement before the Supreme Court that the CBI omitted the part of his confession where he said he had “absolutely no idea” of the purpose for which the two nine-volt batteries he bought would be used for.', 'Perarivalan has been in prison for 26 years for his role in procuring the two batteries which the prosecution said were used in the belt bomb which killed Mr. Gandhi in 1991 at Sriperumbudur in Tamil Nadu.', 'V. Thiagarajan, in an affidavit dated October 27, 2017, submitted that Perarivalan’s statement that “he was totally in the dark as to the purpose for which the batteries were purchased was not recorded by me, because it would have been an exculpatory statement and hence the whole purpose of recording the confessional statement would be lost.”', '“Further I did not deem it fit to record this exculpatory statement because the investigation regarding the bomb was pending at the time of recording the confessional statement and even till date,” Mr. Thiagarajan stated.', '‘Ignorance confirmed’', 'He said the CBI was not sure about the part played by Perarivalan, but his ignorance about the conspiracy was confirmed as the investigation into the assassination progressed.', 'Mr. Thiagarajan referred to a wireless message of May 7, 1991 from mastermind Sivarasan to LTTE top operative Pottu Amman in which the former said “our intention is not known to anybody except we three,” meaning himself, Subha and Dhanu, the suicide bomber.', 'He said a “mere act” of providing batteries would not make Perarivalan privy to the conspiracy to kill Mr. Gandhi. The wireless message made it clear that Perarivalan was not taken into confidence.', 'Mr. Thiagarajan said the Supreme Court “was gracious and highly considerate” to spare the death penalty to Perarivalan in 2014.', 'He said remission for Perarivalan from the rest of the sentence is “long overdue.”', 'He said he had taken the “considered decision to come forward before the Supreme Court to put the facts pertaining to the confessional statement recorded by me in the proper perspective so as to facilitate this court to render justice.”', 'Perarivalan’s counsel Gopal Sankaranarayanan submitted before a Bench led by Justice Ranjan Gogoi that the LTTE’s chief arms procurer of the time is in a Sri Lankan prison. Counsel said probe agencies are still trying to question this man.', 'Two weeks time', '“The person who made the bomb is in a prison in Sri Lanka and they (agencies) have till date not questioned this man. The boy who bought two batteries has been languishing in jail for 26 years. And it is speculative if the batteries were even used in the bomb,” Mr. Sankaranarayanan submitted.', 'The Bench gave the Centre two weeks to decide whether it agrees with the Tamil Nadu government’s decision to grant Perarivalan remission. The next date of hearing is December 6. He was granted parole in August this year for the first time since his arrest in mid-1991.', '', 'Part of his confession where he states his ignorance was omitted', 'V. Thiagarajan', 'Former CBI officer']"
New Delhi,"['Najeeb Ahmed', 'The Central Bureau of Investigation (CBI) has found that the Delhi Police allegedly coerced an auto-rickshaw driver into giving a statement that he had seen Jawaharlal Nehru University (JNU) student Najeeb Ahmed before he went missing in October last year.', 'Call records', 'The information comes on a day when the agency filed a status report in the Delhi High Court. The CBI also submitted that it was awaiting forensic reports on the mobile phones of nine JNU students, which were seized as part of the investigation to ascertain Najeeb’s whereabouts. Their call records are also being examined.', 'The CBI’s application seeking consent of the suspected students for lie-detector tests is pending before a trial court, which is scheduled to take up the matter on Wednesday.', 'The case was initially pursued by the Delhi Police. However, the police could not achieve a breakthrough. Meanwhile, Najeeb’s family approached the court seeking help. The case was transferred to the CBI on May 16.', 'JNUSU reacts', 'Reacting to the CBI’s status report, the JNU Student’s Union (JNUSU) said that the finding that the police had allegedly coerced an auto-rickshaw driver into giving a statement reiterated what they have been saying from day one — that Najeeb did not “disappear” but was “abducted”.', '“Najeeb’s mother broke down in court today [on Tuesday] as she is now disillusioned with the lethargic manner in which the CBI is conducting its probe. The prime accused who had an altercation with Najeeb the night before [he went missing] are roaming freely and have not been questioned. Instead, the police and the media have been coming out with absurd theories. ”', 'In October, the High Court had pulled up the CBI for its “complete lack of interest” and not showing any results in the case. Najeeb, a first-year student of M.Sc. Biotechnology, went missing from JNU on October 15 last year following a scuffle with some students the night before. It was then alleged that they were linked to the Akhil Bharatiya Vidyarthi Parishad.']"
New Delhi,"['Seeking equality:Lady Shri Ram College student Pratishtha Deveshwar damaged her spinal cord in an accident six years ago.Hishma Tanseema Nazir', 'Pratishtha Deveshwar (19) is a first year student of Political Science (Hons.) at Delhi University’s Lady Shri Ram College. Six years ago, she met with an accident and damaged her spinal cord, and was left paraplegic. She is one of 65 students who recently attended the National Convention of Youth with Disabilities, organised by Javed Abidi, director, National Centre for Promotion of Employment for Disabled People (NCPEDP).', 'Hostel policies', '“My parents had to come from Punjab to take me to the conference because Delhi is an inaccessible city for the differently-abled,” Ms. Deveshwar said.', '“On the day of the event, I struggled to get back to my accommodation as I had to cancel seven cabs. The drivers said they did not have a carrier and refused to accommodate my wheelchair in the front seat saying it would make the seat dirty,” she added.', 'She said that she tried to get accommodation at the college hostel but their policies did not permit assistance from outside. “I need someone’s assistance for an hour every day. You cannot treat all differently-abled person alike. We’re not a homogenised category. We all have different needs. It is true that the college is accessible for the differently-abled and I got admission through a particular quota, but what next? When I can’t live here, what’s the point?”', 'Many differently-abled students revealed that they had to persistent before being granted a room at the hostel. “I tried for months before I got the DU hostel accommodation. How is a visually impaired student expected to commute long distances to the college every day?” said Lovely Grower, a visually impaired M.Phil student at DU.', '“I tried to get a seat in the university hostel but didn’t get it. If they don’t have vacancies within the hostel, they should have some safe alternatives for us,” said Mohammad Anas, a wheelchair-bound DU student.', '', '“In consonance with the Right of Persons with Disabilities Act, 2016, we have a 5% reservation policy for accommodation to the differently-abled, which is distributed on the basis of merit. We understand that we’re not able to accommodate every differently-abled student,” said Bipin Tiwari, O.S.D, Equal opportunity Cell, DU.', 'Lack of ramps', 'Ms. Deveshwar said initially, there were also no ramps to help her reach college.', '“My paying guest accommodation is across the park. I have to go around the park and cross the main road to reach college. This is because there was no ramp at the park. However, a ramp was built after persistent requests to the municipal corporation,” she said.']"
New Delhi,"['The ban on entry of trucks into the city was on Tuesday extended till further orders due to fluctuating levels of air pollution, a senior Delhi government official said.', 'The ban on entry of trucks in Delhi was imposed from 11 p.m. on November 9 after pollution levels touched the ‘severe plus’ category and expired at 11 p.m. on November 12.', 'Till further orders', '“The air pollution level kept fluctuating even after the prescribed period of ban on trucks. It has been extended till further orders and a notification to this effect has also been issued,” said the official.', 'The notification has asked the Delhi Traffic Police and the municipal corporations to prohibit the entry of heavy and medium goods vehicles, except those carrying essential commodities.', 'As per the Graded Response Action Plan (GRAP) implemented in Delhi, the ban on entry of truck in Delhi comes into force when PM2.5 levels cross 300 micrograms per metre cube and PM10 levels rise over 500 micrograms per metre cube.']"
New Delhi,"['Children’s Day:Kids protest at Rajpath on Tuesday for their right to clean and healthy air.Sushil Kumar Verma', 'Several schoolchildren gathered on Rajpath on Children’s Day wearing masks and carrying “black roses” to make an appeal to Prime Minister Narendra Modi to ensure that they have clean air to breathe.', 'Previous appeal', 'Vanam Aggarwal, a Class-V student of The Ardee School, said: “We are used to celebrations in school on Children’s Day, but it is different today as it is not healthy for us to go out and play. We hope Mr. Modi will listen to us and promise that we will have clean air to breathe next year.”', 'This is not the first time that children have taken to the streets to demand clean air. Last year on the same occasion, schoolchildren had appealed to Chief Minister Arvind Kejriwal to ensure they had a “mask free Children’s Day 2017”.', 'Shibani Thukral, co-founder of #MyRightToBreathe campaign, said: “Children do not understand the blame game that is being played by politicians and policy makers to clean up the city’s air. They believe that the PM has the power to make things right and that is why they are directly making an appeal to him.”']"
New Delhi,"['A study conducted on Delhi children and released recently in the Journal of Indian Pediatrics provides powerful evidence that shows children growing up in polluted environments like the Capital have reduced lung growth compared to children in developed countries like the United States.', 'Indian children show slower lung growth and reach a final size that is lower than the growth and size found in Caucasian children in the US. While children in both India and the US have nearly the same lung size till the age of about 8 years, when lungs complete their normal physical growth, subsequent growth is progressively different in both nations. Lung size in both Indian boys and girls is about 10% smaller when they reach adulthood.', 'The study was conducted by Prof. S. K. Chhabra, former Director-Professor at Vallabhbhai Patel Chest Institute and current Head of Department, Pulmonary Medicine, Primus Hospital, New Delhi.', 'Childhood infections', 'The study highlights how air quality and childhood infections influence lung growth, besides genetic factors. Air pollution retards lung growth in Delhi’s children and even Indian adults have smaller lungs compared to their US counterparts. Smaller lungs mean poorer exercise capacity, and greater vulnerability to respiratory symptoms and diseases. This is especially scary given that 40% of urban children live in cities.', 'Reacting to the study, Anumita Roychowdhury, executive director, research and advocacy, Centre for Science and Environment (CSE), said: “If this does not wake us up to the health emergency, what will? Those who are in denial over environmental pollution-related deaths and illnesses in India should understand that the scary death tally and illnesses in Indians and children make a mockery of the country’s growth story. India will have to do drastically a lot more to reduce pollution exposure and not less. It will be criminal not to act on the mounting health evidence and ask for more evidence from our own children, the elderly and the vulnerable.”', 'A release issued by the CSE on Tuesday noted that leading medical and public health experts came together on Tuesday under the aegis of the Indian Council of Medical Research, Ministry of Health and Family Welfare, to release the first-ever systematic assessment of burden of disease at both the national and State-level in India. The report notes the progress in increasing life expectancy across the country and in all States, although improvements vary substantially across States. However, the report warns that air pollution remains the second most important risk factor nationally.', 'Health risks', '“Simultaneously, the report of the Lancet Commission on Health and Pollution has looked at the full range of environmental health risks based on the systematic global burden of disease estimates. This shows some nine million deaths occur each year worldwide due to air, water and chemical exposure. Air pollution is at the top of the list, with outdoor and indoor air pollution contributing the lion’s share, some six million deaths. India remains one of the worst affected, with 1.9 million premature deaths due to outdoor and indoor air pollution,” noted the release.', 'The group noted that the evidence makes it clear that comprehensive and long-term strategies for reducing air pollution are critical to protect public health. At the same time, they note that this is likely an underestimate and that there are many exposures for which data is not yet strong enough to quantify the effects.']"
New Delhi,"['Demanding justice:Delhi Commission for Women chief Swati Maliwal protesting in front of Union Home Minister Rajnath Singh’s residence in New Delhi on Tuesday.Shinjini Ghosh', 'A year-and-a-half-old toddler is recuperating at a city hospital after being sexual assaulted allegedly by her 21-year-old neighbour in south Delhi’s Shahpur Jat. The accused had allegedly been entrusted by the child’s parents to look after her in their absence.', 'Once news of the incident broke, Delhi Commission for Women (DCW) chief Swati Maliwal reached the hospital to check on the child. She demanded that Union Home Minister Rajnath Singh too meet the child to understand her ordeal.', 'Hospital authorities said the toddler was admitted with bruises and cuts but was currently stable and not under active treatment. She is, however, in the Intensive Care Unit (ICU) as per protocol in instances of sexual assault on those falling in her age bracket.', 'Initial investigation', 'Neighbour Santosh was arrested soon after the matter was reported to the local police on Monday afternoon.', 'The police said that initial investigation showed Santosh, who is employed in the housekeeping division of a city hotel, lived in the child’s neighbourhood and had often been asked by the parents to “take care” of her. The police were told that several other families also used to leave their children with the accused while they went for work.', '“This time the parents suspected something was amiss and the toddler’s father ensured that one of his friends was on guard while the child was with Santosh. The friend said something was wrong with Santosh’s behaviour,” said a senior police officer.', '', 'Medical examination', '“The child’s mother, who works as domestic help in the area, returned home on Monday to find the toddler bleeding from the private parts and crying incessantly due to pain,” the officer said, adding that her undergarments were bloodstained.', 'According to the police, the mother took the toddler to a hospital. The medical examination revealed that she had been subjected to sexual assault. The woman informed her husband, who reported it to the police.', 'The police quoted the parents alleging that their daughter had been “acting strangely” over the last 10 days, which added to their suspicions.', '', 'Other children', '“Santosh has been arrested under relevant sections of the Indian Penal Code and the Protection of Children from Sexual Offences [POCSO] Act. He is being questioned about his possible involvement in similar instances with the other children he looked after,” the officer added.', 'Meanwhile, Ms. Maliwal protested in front of Mr. Singh’s residence. The DCW chief has been demanding that perpetrators in cases of rapes of minors be awarded death sentence within six months to send out a strong message.', 'She was detained along with other members of the women’s panel and taken to Mandir Marg police station but later released.']"
New Delhi,"['An upcoming trip for Delhi government school teachers and principals to Finland has now become the cause for the latest tussle between Lieutenant-Governor Anil Baijal and Education Minister Manish Sisodia on Tuesday, with the latter saying the file pertaining to the trip was not shown to him.', 'Writes to L-G', 'A round of back-and-forth started with Mr. Sisodia, who is also the Deputy Chief Minister, writing a note to the L-G, saying that officials in the Directorate of Education had not shown him the file about the January 2018 trip. He said the file was sent to the L-G without his concurrence. He added that the officers told him this was on orders of the L-G. Responding to the note, the L-G wrote a letter to Mr. Sisodia saying that he was surprised the issue was raised, especially since he had sent the file to him for his comments.', 'The L-G added it was unclear who had given the impression that files about teachers should not be shown to the Minister. In response, Mr. Sisodia said if it was true the L-G had not issued any such order, then he should give written instructions to the Chief Secretary and the DoE to show him all files pertaining to education.']"
New Delhi,"['Chief Minister Arvind Kejriwal on Tuesday demanded urgent steps by various government departments, especially Transport, to strengthen its existing public transport infrastructure.', 'According to sources, Mr. Kejriwal issued directions to urgently fill up 2,000 vacancies in the Delhi Transport Corporation (DTC). He also directed to expedite the procurement of buses scheduled to be rolled out next year, route rationalisation by Delhi Integrated Multi-Modal Transit System (DIMTS) and creation of a fleet of electric buses at the earliest.', '“Mr. Kejriwal expressed deep displeasure and pulled up officers over delay in procurement of buses despite the fact that the court had asked the city administration to maintain a fleet of at least 11,000 buses many years ago to boost public transport,” said a source.', 'Vacancies in DTC', '“The Chief Minister was informed that a proposal to fill up vacancies in the DTC, both service-related and required for the maintenance of buses which will be added to the fleet, has been pending with the Finance Department for over a month,” the source said. The source added that the Chief Minister was assured that the 2,000 buses being procured will be on the Capital’s roads by June, 2018.']"
New Delhi,"['Obstructions due to potholes, poles and kiosks on pavements, especially for the differently-abled, in Delhi University’s North Campus on Tuesday led the Delhi High Court to take civic body officials to task for “criminal negligence”.', '‘Extremely distressing’', 'A Bench of Acting Chief Justice Gita Mittal and Justice C. Hari Shankar termed the situation as “extremely distressing” since tactile markings on pavements were “replete with obstructions”, including pillars, hoardings and signboards. The court said, “You have tactile markings on pavements till they hit a tree or a pole. How dare you waste the taxpayers’ money like this?”', 'It directed the North Delhi Municipal Corporation to give details of its officials who had designed and approved the plans and tenders, selected the contractors and sanctioned payments. The Bench said these obstructions prohibit access to navigation for any pedestrian, let alone those who are visually impaired. “... If this is what statutory authorities do, how can one blame the citizens?” the Bench said.', 'It asked the North body to map facilities available for the differently-abled in its jurisdiction and listed the matter for January 11. The court was hearing a PIL.']"
